stimulus,choice,RT
2,2,0.491
1,2,0.5858
2,1,0.5701
2,2,0.428
1,1,0.4029
1,1,0.4836
2,2,0.4611
2,2,0.6278
1,1,0.4481
1,1,0.9395
1,2,0.378
1,1,0.6788
2,2,0.5012
2,2,0.4983
2,2,0.4634
1,1,0.4871
1,1,0.5227
1,2,1.1205
2,2,0.5822
2,2,0.4998
1,1,0.7816
2,2,0.816
1,1,0.6483
2,2,0.6007
2,2,0.5421
1,1,0.6549
1,1,0.9444
2,2,0.6775
1,1,0.7727
2,2,0.5415
1,1,0.913
1,1,0.7521
2,2,1.0449
1,1,0.8323
1,2,1.3516
1,1,0.7258
2,2,0.8133
2,1,0.8946
2,2,0.6412
1,1,0.8193
2,2,0.8465
1,1,0.6711
1,1,0.5959
2,2,0.6046
1,1,0.7351
1,1,0.6063
2,2,0.4768
1,1,0.5778
1,1,1.0657
2,2,0.566
1,1,0.5665
1,1,0.8332
2,2,1.5819
2,2,1.0449
1,1,0.7516
2,2,0.8776
2,2,0.5802
1,1,0.902
2,1,0.6847
2,1,1.0023
1,1,0.6511
2,2,0.7829
2,2,0.6923
2,2,0.9837
2,2,0.5447
2,2,1.0008
2,2,0.8045
1,1,0.5671
1,1,0.547
1,1,0.9448
2,2,0.9934
1,1,0.9642
1,1,0.4993
1,1,0.9301
2,2,0.6996
2,2,0.8351
2,2,0.9141
1,1,0.7657
1,1,0.6483
1,1,0.6948
2,2,0.542
2,2,0.7802
1,1,0.5579
1,1,1.0089
2,2,0.5313
2,2,0.651
1,2,0.7368
1,1,0.6898
2,2,0.887
2,2,0.7364
1,2,1.3395
1,2,0.8704
2,2,0.619
1,1,1.0659
2,2,1.0325
2,2,0.856
1,1,0.5526
2,2,0.8222
2,2,0.591
1,2,0.9631
2,2,0.5697
1,1,0.7747
2,2,0.6001
2,2,0.6467
2,2,0.5416
2,2,0.4409
1,1,0.4092
2,2,0.6203
2,2,0.5115
1,1,0.8601
2,2,0.7106
1,1,0.6223
2,2,0.6684
1,1,0.5492
1,1,0.5463
1,2,0.7356
2,2,0.5272
2,1,0.5945
1,1,0.7164
1,1,0.6116
1,1,0.8081
2,2,0.5268
1,1,1.0166
2,1,1.0752
2,2,0.5189
2,2,0.4852
1,1,0.5863
2,2,0.5421
2,2,0.8628
1,1,0.5726
1,1,0.5715
1,2,0.9431
1,1,0.7624
1,1,0.5632
2,2,0.6067
1,1,0.5786
2,2,0.9051
1,1,1.1225
2,2,1.2624
1,1,1.329
2,2,0.9991
1,1,0.7931
1,1,0.6824
1,1,0.7174
2,2,0.6604
2,2,0.7223
1,1,0.7946
2,2,0.9215
1,1,1.072
1,2,1.2237
2,2,0.9171
1,1,0.8314
2,2,0.8598
1,1,0.5553
1,1,0.6101
2,2,0.4592
1,1,0.5329
1,1,0.6568
2,2,0.5277
1,1,0.5911
2,2,0.5511
2,2,0.5934
1,1,0.7364
1,1,0.9115
2,2,0.5637
2,1,0.7057
1,1,0.5027
2,2,0.7441
2,2,0.5424
1,1,0.6103
1,2,0.7608
1,1,0.7017
1,1,0.5751
2,2,0.7045
2,2,0.6503
2,2,0.4077
1,1,0.9362
1,1,0.7076
1,1,0.5058
2,2,0.4986
1,1,0.6766
2,2,0.653
1,1,0.7371
1,1,0.9037
2,2,0.8189
1,2,0.6313
1,1,0.5355
1,1,0.8288
2,2,0.5164
1,1,0.4899
2,1,0.5683
2,2,1.1726
2,2,0.8268
2,1,0.8006
2,2,0.6285
2,2,0.4992
1,1,0.8548
2,1,0.9962
2,2,0.7857
2,2,0.8421
